season,episode,air_date
37,9,2011-12-10
37,10,2011-12-17
37,11,2012-01-07
37,12,2012-01-14
37,13,2012-02-04
37,14,2012-02-11
37,15,2012-02-18
37,16,2012-03-03
37,17,2012-03-10
37,18,2012-04-07
37,19,2012-04-14
37,20,2012-05-05
37,21,2012-05-12
37,22,2012-05-19
38,1,2012-09-15
38,2,2012-09-22
38,3,2012-10-06
38,4,2012-10-13
38,5,2012-10-20
38,6,2012-11-03
38,7,2012-11-10
38,8,2012-11-17
38,9,2012-12-08
38,10,2012-12-15
38,11,2013-01-19
38,12,2013-01-26
38,13,2013-02-09
38,14,2013-02-16
38,15,2013-03-02
38,16,2013-03-09
38,17,2013-04-06
38,18,2013-04-13
38,19,2013-05-04
38,20,2013-05-11
38,21,2013-05-18
39,1,2013-09-28
39,2,2013-10-05
39,3,2013-10-12
39,4,2013-10-26
39,5,2013-11-02
39,6,2013-11-16
39,7,2013-11-23
39,8,2013-12-07
39,9,2013-12-14
39,10,2013-12-21
39,11,2014-01-18
39,12,2014-01-25
39,13,2014-02-01
39,14,2014-03-01
39,15,2014-03-08
39,16,2014-03-29
39,17,2014-04-05
39,18,2014-04-12
39,19,2014-05-03
39,20,2014-05-10
39,21,2014-05-17
40,1,2014-09-27
40,2,2014-10-04
40,3,2014-10-11
40,4,2014-10-25
40,5,2014-11-01
40,6,2014-11-15
40,7,2014-11-22
40,8,2014-12-06
40,9,2014-12-13
40,10,2014-12-20
40,11,2015-01-17
40,12,2015-01-25
40,13,2015-01-31
40,14,2015-02-28
40,15,2015-03-07
40,16,2015-03-28
40,17,2015-04-04
40,18,2015-04-11
40,19,2015-05-02
40,20,2015-05-09
40,21,2015-05-16
41,1,2015-10-03
41,2,2015-10-10
41,3,2015-10-17
41,4,2015-11-07
41,5,2015-11-14
41,6,2015-11-21
41,7,2015-12-05
41,8,2015-12-12
41,9,2015-12-19
41,10,2016-01-16
41,11,2016-01-23
41,12,2016-02-06
41,13,2016-02-13
41,14,2016-03-05
41,15,2016-03-12
41,16,2016-04-02
41,17,2016-04-09
41,18,2016-04-16
41,19,2016-05-07
41,20,2016-05-14
41,21,2016-05-21
